city,place_name,latitude,longitude
Sofia,Фабрика ДЪГА / Rainbow Factory,42.6988287,23.3259482
Sofia,2 Giraffes,42.694965,23.3216958
Sofia,Chucky's Coffee House,42.6918475,23.3210349999999
Sofia,Percolate Coffee,42.6932212,23.3440409
Sofia,Drekka,42.6913794,23.3233668
Sofia,Chucky's Coffee Store,42.6650701,23.286343
Sofia,Фабрика ДЪГА 2 / Rainbow Factory 2,42.6923381,23.3386015
Sofia,From Barista Coffee and more,42.6221904,23.3677074
Sofia,DABOV Specialty Coffee,42.6858385,23.3243766000001
Sofia,Columbus Coffee Labs,42.6896035,23.3278350000001
Sofia,Barista coffee and more,42.6706333,23.3157947
Split,D16 Coffee,43.5088138,16.4401539
Split,kava37 | Specialty Coffee Shop Hvar,43.1708658,16.4417571
Split,4coffee soul food - Specialty Coffee Shop,43.5088202,16.4416838
Split,Malo Misto,43.4442513,16.6409791999999
Dallas,Coffee House Cafe,32.997938,-96.7991319
Dallas,Stupid Good Coffee,32.782646,-96.7953556
Dallas,Ascension Coffee (Crescent),32.7937823,-96.8038113
Dallas,Ascension Coffee (Design District),32.7970216,-96.8199707
Dallas,Ascension Coffee (Roastery),32.8005867,-96.8397611
Dallas,Crooked Tree,32.7957169,-96.8008169
Dallas,Weekend Coffee (Joule Hotel),32.7802859,-96.7983363
Dallas,FULL CITY ROOSTER Coffee Roasting Studio,32.767665,-96.789791
Dallas,Mudsmith,32.8152957,-96.7698918
Dallas,Davis Street Espresso (Oak Cliff Coffee Roasters),32.749657,-96.836709
Dallas,Sip | Stir Cafe,32.8090587,-96.7951039
Dallas,Cultivar Coffee Bar & Roaster (Dallas),32.8391169,-96.6976459
Dallas,Cultivar Coffee Bar & Roaster (Denton),33.2143272,-97.1352526
Dallas,Avoca Coffee Roasters,32.7501051,-97.3561203
Dallas,Café Victoria,32.7882983,-96.8091855
Dallas,Local Press + Brew,32.7640659,-96.8233452
Dallas,Magnolias Sous Le Pont,32.7934512,-96.8078687
Dallas,Method Coffee,32.7951717,-96.7890209
Dallas,Society Coffee,32.84432,-97.082258
Dallas,Pearl Cup Coffee,32.9922615,-96.7273905
Dallas,Oddfellows,32.7488421,-96.827384
Dallas,BREWED,32.730439,-97.332642
Dallas,Buon Giorno Coffee,32.749415,-97.336295
Dallas,Craftwork Coffee Co.,32.7304751,-97.3375553
Dallas,1418 Coffeehouse,33.0192979,-96.6990051
Dallas,Eiland Coffee Roasters,32.957472,-96.727206
Dallas,Seven Mile Cafe (Highland Village),33.0723347,-97.0598489
Dallas,Seven Mile Cafe (Denton),33.2191474,-97.1352828
Dallas,Seven Mile Cafe (Keller),32.9324774,-97.2540132
Dallas,Houndstooth Coffee (Sylvan|Thirty),32.7692586,-96.8355088
Dallas,State Street Coffee,32.7975654,-96.7978572
Dallas,Houndstooth Coffee (Walnut Hill),32.8808429,-96.7692087
Dallas,Civil Pour,32.8821019,-96.7673376
Dallas,Merit Coffee,32.8204254,-96.8019668
Dallas,Noble Coyote Coffee Roasters,32.7822861,-96.7673403
Dallas,White Rock Coffee,32.8646045,-96.7123204
Dallas,Fiction Coffee,32.7951048,-96.7890086
Dallas,WFM Coffee Bar,32.7957855,-96.8014571
Dallas,HANDS+ROSE COFFEE,32.7985446,-96.8280332
Dallas,Ascension Coffee (Thanksgiving Tower),32.7819574,-96.798096
Dallas,Houndstooth Coffee (Henderson Ave),32.8115598,-96.774509
Dallas,Oak Lawn Coffee,32.8063456,-96.8113273
Dallas,Cultivar Coffee Bar & Roaster (Oak Cliff),32.7433492,-96.8268464
Dallas,Drugstore Cowboy,32.7840406,-96.7835544
Hoi_An,Hoi An Roastery (the coffee corner),15.8770351,108.3286812
Hoi_An,Hoi An Roastery (hidden in a small alley),15.8777481,108.3268596
Hoi_An,The Espresso Station,15.8802172,108.3283638
Hoi_An,Hoi An Roastery (original shop),15.8770361,108.3287895
Hoi_An,CocoBox,15.8766966,108.3286016
Hoi_An,Faifo Coffee,15.8772064,108.3280961
Hoi_An,Sound Of Silence Coffee Shop,15.9087804,108.3472957
Hoi_An,Rosie's cafe,15.877663,108.325648
Hoi_An,Mia Coffee,15.8772264,108.3344811
Hoi_An,Hoi An Roastery - Japanese Bridge,15.8773141,108.3306231
Hoi_An,Cavalry Coffee,15.8584285,108.38226
Hoi_An,T'Aroma Coffee,15.8764869,108.3293155
Hoi_An,Bosgaurus Coffee Roasters,15.8764556,108.3274666
Hoi_An,Phin Coffee Hoi An,15.8777128,108.3279222
Hoi_An,FeFe Roastery,15.8779299,108.3266864
Istanbul,Espressolab Taksim,41.036082,28.984136
Istanbul,Espressolab Grandpera,41.0345515,28.9776792
Istanbul,Espressolab Tünel,41.0296305,28.9754492
Istanbul,Drip Coffee Istanbul,41.0289618,28.9734691
Istanbul,Kronotrop Cihangir,41.0313703,28.9824140000001
Istanbul,Probador Colectiva,41.028993,28.979997
Istanbul,Norm Coffee,41.031989,28.985327
Istanbul,Coffee Brew Lab,41.0320996,28.978345
Istanbul,Coffee Sapiens (Roastery & Brew Bar),41.025952,28.981298
